vehicle_type,fuel_capacity_liters,current_fuel_liters,avg_mileage_kmpl,daily_travel_km,days_since_last_refill,historical_avg_refill_gap_days,highway_ratio,fuel_exhaustion_days
truck,65.0,14.5,10.3,10.9,27,7,0.73,17.22
motorcycle,15.5,4.1,36.3,39.1,22,8,0.35,4.04
hatchback,36.1,5.4,15.7,100.1,29,15,0.34,0.87
motorcycle,19.8,7.5,40.1,40.9,8,9,0.11,7.8
motorcycle,16.5,14.6,53.7,21.2,3,20,0.4,40.9
suv,60.8,41.1,10.2,14.3,9,11,0.16,29.2
hatchback,44.8,43.8,21.9,80.8,24,4,0.43,14.25
hatchback,40.0,20.5,20.4,7.7,10,3,0.13,53.06
hatchback,31.5,19.4,19.2,34.2,16,3,0.49,12.29
motorcycle,17.8,14.3,48.1,63.8,18,13,0.98,12.18
truck,100.4,85.2,7.3,82.8,16,4,0.77,8.23
hatchback,30.3,14.6,23.4,42.2,23,11,0.65,8.99
motorcycle,12.5,8.5,36.4,19.0,17,13,0.11,15.31
suv,53.8,2.5,13.0,97.8,15,9,0.63,0.4
truck,85.6,47.4,6.2,39.0,24,16,0.4,8.3
suv,55.0,2.3,10.9,67.9,4,20,0.13,0.4
truck,108.0,93.3,6.1,102.9,12,6,0.73,5.84
motorcycle,18.4,11.7,47.4,34.2,12,18,0.22,17.67
sedan,48.2,30.9,17.9,6.9,5,14,0.32,88.13
truck,80.6,11.7,5.7,100.6,14,14,0.65,0.82
suv,53.1,21.9,13.8,94.7,14,13,0.0,3.04
motorcycle,12.5,1.1,46.2,102.9,26,5,0.9,0.62
truck,93.2,75.9,7.7,81.6,4,10,0.09,7.06
sedan,38.5,38.0,16.4,66.2,25,18,1.0,11.14
sedan,46.7,38.1,15.3,40.2,16,4,0.67,15.49
hatchback,32.0,20.6,15.3,71.5,11,15,0.26,4.9
hatchback,42.1,18.5,23.9,15.6,10,15,0.67,30.93
suv,64.8,51.8,9.9,31.0,7,12,0.52,19.22
truck,76.9,23.6,6.9,93.7,23,18,0.11,1.89
truck,74.0,47.6,10.7,9.8,10,8,0.25,60.79
hatchback,34.6,21.6,23.0,98.1,26,17,0.36,5.29
truck,71.4,50.4,8.9,46.2,20,7,0.02,10.8
truck,78.9,5.4,10.4,85.7,24,6,0.4,0.7
sedan,43.2,40.4,14.5,18.9,27,13,0.97,39.95
hatchback,35.7,3.2,17.4,63.2,13,5,0.66,0.94
motorcycle,11.2,10.0,42.4,49.5,14,8,0.46,8.56
hatchback,36.2,26.7,15.4,27.7,9,12,0.26,14.84
motorcycle,18.7,6.3,34.9,82.7,3,19,0.62,3.0
sedan,49.0,11.3,12.4,46.8,28,5,0.12,2.94
suv,65.9,45.0,12.7,22.1,27,18,0.56,27.28
truck,112.2,42.3,9.3,65.2,13,18,0.59,7.52
sedan,51.6,40.6,14.8,113.2,0,15,0.39,5.6
truck,96.2,77.3,8.3,53.6,29,7,0.01,12.31
suv,60.3,52.8,8.1,31.1,10,17,0.61,16.42
suv,50.7,6.8,9.0,26.8,17,14,0.75,2.6
sedan,39.0,11.0,17.0,12.8,1,14,0.94,16.18
suv,64.0,29.1,8.1,33.5,13,9,0.61,8.12
motorcycle,15.7,3.7,31.8,74.5,9,12,0.54,1.64
suv,61.2,38.6,8.1,21.4,9,17,0.6,17.2
truck,117.1,103.6,6.9,27.3,14,6,0.01,25.8
truck,61.5,34.5,8.6,119.4,8,16,0.96,3.27
truck,62.7,59.4,10.9,39.1,24,20,0.17,17.63
truck,67.6,9.2,8.6,33.3,24,13,0.69,2.83
motorcycle,11.7,1.6,39.9,93.1,8,10,0.65,0.72
hatchback,38.7,1.8,23.9,9.8,25,10,0.55,4.56
sedan,36.0,22.6,14.1,72.6,12,20,0.33,4.67
truck,106.9,47.3,9.4,79.5,18,5,0.32,5.98
suv,71.9,35.7,13.0,90.1,21,20,0.81,6.0
truck,76.4,56.2,7.6,65.0,19,19,0.96,7.95
suv,63.8,43.4,12.9,70.4,21,18,0.63,9.3
suv,73.1,72.7,8.1,89.0,21,10,0.13,6.19
truck,78.2,57.4,9.9,72.7,12,13,0.35,7.9
motorcycle,12.4,8.5,36.0,41.2,11,20,0.07,7.33
suv,64.2,3.7,13.6,43.0,20,15,0.41,1.32
suv,55.9,29.2,9.0,55.7,19,7,0.91,5.63
truck,71.0,23.3,7.9,109.4,28,8,0.09,1.68
suv,59.6,7.1,9.0,71.0,0,20,0.71,0.98
suv,57.6,37.3,10.2,61.9,29,13,0.59,6.76
truck,79.0,49.9,10.7,75.3,21,11,0.57,7.67
truck,71.9,18.5,7.1,68.8,5,8,0.62,2.07
sedan,36.6,4.1,13.7,64.6,19,20,0.28,0.98
motorcycle,10.1,6.9,50.1,96.8,3,19,0.02,3.52
motorcycle,11.5,10.3,43.8,69.9,17,17,0.68,6.97
suv,76.4,4.7,9.8,108.2,20,13,0.22,0.46
motorcycle,11.4,9.9,45.0,82.6,9,11,0.76,5.96
suv,56.3,55.0,13.2,112.5,13,7,0.77,6.82
sedan,48.8,47.2,15.9,20.0,1,15,0.43,43.58
truck,82.0,12.9,6.4,41.0,4,17,0.92,2.48
truck,108.7,89.9,10.6,42.2,2,16,0.18,23.25
truck,80.4,6.0,8.4,17.5,7,20,0.32,3.13
